,address,Lat_,long_
215,"16126 SE 249th Pl, Covington, WA 98042",47.3786113,-122.1259317219174
216,"16218 163rd Pl SE, Covington, WA 98042",47.3737743,-122.1242226
217,"20825 135th Ave SE, Kent, WA 98042",47.3660885,-122.16112
218,"20101 137th Ave SE, Kent, WA 98042",47.3631571,-122.1588445
219,"18827 SE 244th Pl, Covington, WA 98042",47.3828958,-122.08987154915616
220,"15125 SE 278th Pl, Kent, WA 98042",47.35190165,-122.14011145925659
221,"24204-24298 142nd Ave SE, Kent, WA 98042",,
222,"24200-24498 144th Ave SE, Kent, WA 98042",,
223,"15731 SE 253rd Pl, Covington, WA 98042",47.3746489,-122.13106684506782
224,"19901-19999 SE 290th Pl, Kent, WA 98042",,
225,"17459 SE 262nd St, Covington, WA 98042",47.36647,-122.10692549999999
226,"26118 189th Ct SE, Covington, WA 98042",47.36786,-122.08806398229167
227,"16621 SE 235th St, Kent, WA 98042",47.3914467,-122.1622325
228,"27622 195th Ave SE, Kent, WA 98042",47.35456525,-122.08137008971059
229,"27631-27699 145th Pl SE, Kent, WA 98042",,
230,"17116 SE Covington Sawyer Rd, Kent, WA 98042",,
231,"14014 SE 236th Pl, Kent, WA 98042",47.39024895,-122.15387658580222
232,"26231 187th Pl SE, Covington, WA 98042",47.3664605,-122.09206214538239
233,"23884 140th Ln SE, Kent, WA 98042",47.3873647,-122.1529124
234,"19009-19021 SE 266th St, Covington, WA 98042",,
235,"14405 SE 208th St, Kent, WA 98042",47.415596,-122.14913007067669
236,"26017 189th Ave SE, Covington, WA 98042",47.368629999999996,-122.0898415
237,"24007 196th Ave SE, Covington, WA 98042",47.3867246,-122.08083967517905
238,"16102 SE 251 St, Covington, WA 98042",,
239,"18717 SE 258th St, Covington, WA 98042",47.3711215,-122.0920925
240,"857 170th Pl NE, Bellevue, WA 98008",47.6159899,-122.1142299
241,"2506 166th Ave NE, Bellevue, WA 98008",47.6155238,-122.1189149
242,"1415 168th Ave NE, Bellevue, WA 98008",47.6111053,-122.1153653
243,"16020 SE 2nd St, Bellevue, WA 98008",47.6073518,-122.1238009
244,"3250 165th Ave SE, Bellevue, WA 98008",47.5998085,-122.1199445
245,"234 W Lake Sammamish Pkwy SE, Bellevue, WA 98008",47.6013769,-122.1114116
246,"3220 170th Ave NE, Bellevue, WA 98008",47.6382336,-122.11281782087732
247,"2655 166th Ave SE, Bellevue, WA 98008",47.6011811,-122.1188831
248,"1020 163rd Ave SE, Bellevue, WA 98008",47.6022092,-122.1223556
249,"18307 NE 19th Pl, Bellevue, WA 98008",47.6273249,-122.1148482
250,"1673 Rosemont Blvd, Bellevue, WA 98008",47.6190064,-122.0996294
251,"16541 NE 27th Pl, Bellevue, WA 98008",47.6338203,-122.1270318
252,"920 163rd Ave SE, Bellevue, WA 98008",47.6022092,-122.1223556
253,"16231 NE 29th St, Bellevue, WA 98008",47.635989,-122.1217858
254,"16420 SE 39th Pl, Bellevue, WA 98008",47.5748405,-122.1190078
255,"16630 SE 26th St, Bellevue, WA 98008",47.5868666,-122.1141051
256,"16204 SE 8th St, Bellevue, WA 98008",47.6033847,-122.1193749
257,"2646 168th Ave SE, Bellevue, WA 98008",47.602254,-122.1164213
258,"17200 SE 29th Ct, Bellevue, WA 98008",47.5841139,-122.111747
259,"1813 177th Ave NE, Bellevue, WA 98008",47.6190482,-122.1046578
260,"527 171st Pl NE, Bellevue, WA 98008",47.6127049,-122.1135816
261,"17834 SE 40th Pl, Bellevue, WA 98008",47.5740496,-122.1176431
262,"16805 NE 12th St, Bellevue, WA 98008",47.6205086,-122.1245373
263,"16725 NE 22nd St, Bellevue, WA 98008",47.629217,-122.1121716
264,"2622 W Lake Sammamish Pkwy SE, Bellevue, WA 98008",47.6013769,-122.1114116
265,"16437 SE 8th St, Bellevue, WA 98008",47.6033847,-122.1193749
266,"717 164th Ave SE, Bellevue, WA 98008",47.6016341,-122.1210947
267,"1212 168th Ave NE, Bellevue, WA 98008",47.6111053,-122.1153653
268,"2422 171 Ave SE, Bellevue, WA 98008",,
269,"17813 NE 8th Pl, Bellevue, WA 98008",47.6175446,-122.1119486
270,"1015 158th Pl SE, Bellevue, WA 98008",47.6002389,-122.1280194
271,"15619 SE 9th St, Bellevue, WA 98008",47.6021906,-122.125096
272,"2413 171 Ave SE, Bellevue, WA 98008",,
273,"16429 NE 18th St, Bellevue, WA 98008",47.6262969,-122.1193272
274,"1800 172nd Ave NE, Bellevue, WA 98008",47.6261014,-122.11119451563569
275,"408 172nd Pl NE, Bellevue, WA 98008",47.6144852,-122.1113537
276,"3430 166th Ave SE, Bellevue, WA 98008",47.6011811,-122.1188831
